Age,IsAdult,Job,Qualification,MaritalStatus,Gender,BankBalance,Salary
19,1,PrivateJob,Bachelor,Married,Female,544091,<=50K
31,1,PrivateJob,Bachelor,Married,Male,84154,>50K
48,1,SelfEmployed,Bachelor,Married,Male,265477,<=50K
31,1,PrivateJob,School,Married,Male,507875,<=50K
53,1,SelfEmployed,Bachelor,Married,Male,88506,<=50K
24,1,PrivateJob,Bachelor,Married,Male,172987,<=50K
49,1,PrivateJob,Bachelor,Divorced,Female,94638,<=50K
25,1,PrivateJob,Bachelor,UnMarried,Male,289980,<=50K
57,1,GovtJob,Bachelor,Married,Male,337895,>50K
53,1,PrivateJob,Bachelor,Married,Male,144361,<=50K
44,1,PrivateJob,Masters,Divorced,Female,128354,<=50K
41,1,GovtJob,Bachelor,Married,Male,101603,<=50K
29,1,PrivateJob,Bachelor,UnMarried,Male,271466,<=50K
25,1,PrivateJob,Bachelor,Married,Female,32275,<=50K
18,0,PrivateJob,Bachelor,UnMarried,Female,226956,<=50K
47,1,PrivateJob,Bachelor,Married,Female,51835,>50K
50,1,GovtJob,Bachelor,Divorced,Male,251585,>50K
47,1,SelfEmployed,Bachelor,Divorced,Male,109832,<=50K
43,1,PrivateJob,Bachelor,Married,Male,237993,>50K
46,1,PrivateJob,School,Married,Male,216666,<=50K
35,1,PrivateJob,Bachelor,Married,Male,56352,<=50K
41,1,PrivateJob,Bachelor,Married,Male,147372,<=50K
30,1,PrivateJob,Bachelor,Married,Male,188146,<=50K
30,1,PrivateJob,Bachelor,Married,Male,59496,<=50K
32,1,SelfEmployed,School,Married,Male,293936,<=50K
48,1,PrivateJob,Bachelor,Married,Male,149640,<=50K
42,1,PrivateJob,Doctorate,Married,Male,116632,>50K
29,1,PrivateJob,Bachelor,Divorced,Male,105598,<=50K
36,1,PrivateJob,Bachelor,Married,Male,155537,<=50K
28,1,PrivateJob,Bachelor,Divorced,Female,183175,<=50K
53,1,PrivateJob,Bachelor,Married,Female,169846,>50K
49,1,SelfEmployed,Bachelor,Married,Male,191681,>50K
25,1,SelfEmployed,Bachelor,UnMarried,Male,200681,<=50K
19,1,PrivateJob,Bachelor,UnMarried,Male,101509,<=50K
31,1,PrivateJob,Bachelor,Divorced,Female,309974,<=50K
29,1,SelfEmployed,Bachelor,Married,Male,162298,>50K
23,1,PrivateJob,Bachelor,UnMarried,Male,211678,<=50K
79,1,PrivateJob,Bachelor,Married,Male,124744,<=50K
27,1,PrivateJob,Bachelor,UnMarried,Male,213921,<=50K
40,1,PrivateJob,Bachelor,Married,Male,32214,<=50K
67,1,SelfEmployed,School,Married,Male,212759,<=50K
18,0,PrivateJob,School,UnMarried,Female,309634,<=50K
31,1,GovtJob,School,Married,Male,125927,<=50K
18,0,PrivateJob,Bachelor,UnMarried,Male,446839,<=50K
52,1,PrivateJob,Bachelor,Married,Male,276515,<=50K
46,1,PrivateJob,Bachelor,Married,Female,51618,<=50K
59,1,PrivateJob,Bachelor,Married,Male,159937,<=50K
44,1,PrivateJob,Bachelor,Divorced,Female,343591,>50K
53,1,PrivateJob,Bachelor,Divorced,Female,346253,<=50K
49,1,GovtJob,Bachelor,Married,Male,268234,>50K
33,1,PrivateJob,Masters,Married,Male,202051,<=50K
30,1,PrivateJob,School,UnMarried,Male,54334,<=50K
43,1,GovtJob,Doctorate,UnMarried,Female,410867,>50K
57,1,PrivateJob,Bachelor,Married,Male,249977,<=50K
37,1,PrivateJob,Bachelor,Divorced,Female,286730,<=50K
28,1,PrivateJob,Bachelor,Divorced,Female,212563,<=50K
30,1,PrivateJob,Bachelor,Married,Female,117747,<=50K
34,1,GovtJob,Bachelor,Married,Male,226296,>50K
29,1,GovtJob,Bachelor,UnMarried,Male,115585,<=50K
48,1,SelfEmployed,Doctorate,Married,Male,191277,>50K
37,1,PrivateJob,Bachelor,Married,Male,202683,>50K
48,1,PrivateJob,Bachelor,Divorced,Female,171095,<=50K
32,1,GovtJob,Bachelor,UnMarried,Male,249409,<=50K
76,1,PrivateJob,Masters,Married,Male,124191,>50K
44,1,PrivateJob,Bachelor,Married,Male,198282,>50K
47,1,SelfEmployed,Masters,UnMarried,Female,149116,<=50K
20,1,PrivateJob,Bachelor,UnMarried,Female,188300,<=50K
29,1,PrivateJob,Bachelor,UnMarried,Male,103432,<=50K
32,1,SelfEmployed,Bachelor,Married,Male,317660,>50K
17,0,SelfEmployed,School,UnMarried,Female,304873,<=50K
30,1,PrivateJob,School,UnMarried,Male,194901,<=50K
31,1,GovtJob,Bachelor,UnMarried,Female,189265,<=50K
42,1,PrivateJob,Bachelor,Married,Male,124692,<=50K
24,1,PrivateJob,Bachelor,UnMarried,Male,432376,<=50K
38,1,PrivateJob,Bachelor,Married,Male,65324,>50K
56,1,SelfEmployed,Bachelor,Married,Male,335605,>50K
28,1,PrivateJob,Bachelor,Married,Female,377869,<=50K
36,1,PrivateJob,Bachelor,UnMarried,Female,102864,<=50K
53,1,PrivateJob,School,Married,Male,95647,<=50K
56,1,SelfEmployed,Bachelor,Married,Male,303090,<=50K
49,1,GovtJob,Bachelor,Married,Male,197371,>50K
55,1,PrivateJob,Bachelor,Married,Male,247552,<=50K
22,1,PrivateJob,Bachelor,UnMarried,Male,102632,<=50K
21,1,PrivateJob,Bachelor,UnMarried,Female,199915,<=50K
40,1,PrivateJob,Bachelor,Married,Male,118853,<=50K
30,1,PrivateJob,Bachelor,UnMarried,Male,77143,<=50K
29,1,GovtJob,Bachelor,Married,Male,267989,>50K
19,1,PrivateJob,Bachelor,UnMarried,Male,301606,<=50K
47,1,PrivateJob,Bachelor,Married,Female,287828,>50K
20,1,PrivateJob,Bachelor,UnMarried,Female,111697,<=50K
31,1,PrivateJob,Bachelor,Married,Male,114937,>50K
35,1,SelfEmployed,Bachelor,Married,Male,129305,<=50K
39,1,PrivateJob,Bachelor,Divorced,Male,365739,<=50K
28,1,PrivateJob,Bachelor,UnMarried,Female,69621,<=50K
24,1,PrivateJob,Bachelor,UnMarried,Female,43323,<=50K
38,1,SelfEmployed,Bachelor,Married,Male,120985,<=50K
37,1,PrivateJob,Bachelor,Married,Male,254202,<=50K
46,1,PrivateJob,Bachelor,Divorced,Female,146195,<=50K
38,1,GovtJob,Masters,Married,Male,125933,>50K
43,1,SelfEmployed,Bachelor,Married,Male,56920,<=50K
27,1,PrivateJob,Bachelor,Married,Female,163127,<=50K
20,1,PrivateJob,Bachelor,UnMarried,Male,34310,<=50K
49,1,PrivateJob,Bachelor,Married,Male,81973,>50K
61,1,SelfEmployed,Bachelor,Married,Male,66614,<=50K
27,1,PrivateJob,Bachelor,UnMarried,Female,232782,<=50K
19,1,PrivateJob,Bachelor,UnMarried,Male,316868,<=50K
45,1,PrivateJob,Bachelor,UnMarried,Female,196584,>50K
70,1,PrivateJob,Bachelor,UnMarried,Male,105376,<=50K
31,1,PrivateJob,Bachelor,UnMarried,Female,185814,<=50K
22,1,PrivateJob,Bachelor,Married,Male,175374,<=50K
36,1,PrivateJob,Bachelor,Widowed,Female,108293,<=50K
64,1,PrivateJob,School,Married,Male,181232,<=50K
43,1,SelfEmployed,Bachelor,Divorced,Female,174662,<=50K
47,1,GovtJob,Bachelor,Divorced,Female,186009,<=50K
34,1,PrivateJob,Bachelor,UnMarried,Female,198183,<=50K
33,1,PrivateJob,Bachelor,UnMarried,Female,163003,<=50K
21,1,PrivateJob,Bachelor,UnMarried,Male,296158,<=50K
52,1,SelfEmployed,Bachelor,Divorced,Male,252903,>50K
48,1,PrivateJob,Bachelor,Married,Male,187715,<=50K
23,1,PrivateJob,Bachelor,UnMarried,Male,214542,<=50K
71,1,SelfEmployed,Bachelor,Divorced,Male,494223,<=50K
29,1,PrivateJob,Bachelor,Divorced,Male,191535,<=50K
42,1,PrivateJob,Bachelor,Divorced,Male,228456,<=50K
68,1,SelfEmployed,School,Divorced,Female,38317,<=50K
25,1,PrivateJob,Bachelor,UnMarried,Female,252752,<=50K
44,1,SelfEmployed,Masters,Divorced,Female,78374,<=50K
28,1,PrivateJob,Bachelor,UnMarried,Female,88419,<=50K
45,1,SelfEmployed,Masters,Married,Male,201080,>50K
36,1,PrivateJob,Bachelor,Divorced,Female,207157,<=50K
39,1,GovtJob,Bachelor,UnMarried,Male,235485,<=50K
46,1,GovtJob,Masters,Widowed,Male,102628,<=50K
18,0,PrivateJob,School,UnMarried,Male,25828,<=50K
66,1,GovtJob,Bachelor,Widowed,Female,54826,<=50K
27,1,PrivateJob,Bachelor,UnMarried,Male,124953,<=50K
28,1,GovtJob,Bachelor,Married,Male,175325,<=50K
51,1,PrivateJob,Bachelor,Married,Male,96062,>50K
27,1,PrivateJob,Bachelor,UnMarried,Male,428030,<=50K
28,1,GovtJob,Bachelor,Married,Male,149624,>50K
27,1,PrivateJob,Bachelor,Married,Female,253814,<=50K
21,1,PrivateJob,Bachelor,UnMarried,Male,312956,<=50K
34,1,PrivateJob,Bachelor,UnMarried,Male,483777,<=50K
18,0,PrivateJob,Bachelor,UnMarried,Male,183930,<=50K
33,1,PrivateJob,Bachelor,Married,Male,37274,<=50K
44,1,GovtJob,Bachelor,Married,Male,181344,>50K
43,1,PrivateJob,Bachelor,Divorced,Female,114580,<=50K
30,1,PrivateJob,Bachelor,UnMarried,Male,633742,<=50K
40,1,PrivateJob,School,Married,Male,286370,>50K
37,1,GovtJob,Bachelor,Married,Male,29054,>50K
34,1,PrivateJob,Bachelor,Married,Male,304030,<=50K
41,1,SelfEmployed,Bachelor,Divorced,Female,143129,<=50K
53,1,SelfEmployed,Bachelor,Divorced,Female,135105,<=50K
31,1,PrivateJob,Masters,Married,Female,99928,<=50K
58,1,GovtJob,Doctorate,Married,Male,109567,>50K
38,1,PrivateJob,Bachelor,Divorced,Female,155222,<=50K
24,1,PrivateJob,Bachelor,Married,Male,159567,<=50K
41,1,GovtJob,Bachelor,Married,Male,523910,<=50K
47,1,PrivateJob,Bachelor,Married,Male,120939,<=50K
41,1,GovtJob,Bachelor,Married,Male,130760,<=50K
23,1,PrivateJob,School,Married,Male,197387,<=50K
36,1,PrivateJob,Bachelor,Divorced,Male,99374,<=50K
40,1,GovtJob,Masters,UnMarried,Female,56795,>50K
35,1,PrivateJob,Masters,Married,Male,138992,>50K
24,1,SelfEmployed,Bachelor,UnMarried,Male,32921,<=50K
26,1,PrivateJob,Masters,UnMarried,Female,397317,<=50K
19,1,SelfEmployed,Bachelor,UnMarried,Male,170653,<=50K
51,1,PrivateJob,Bachelor,Married,Male,259323,>50K
42,1,GovtJob,Bachelor,UnMarried,Female,254817,<=50K
37,1,GovtJob,Bachelor,Divorced,Female,48211,<=50K
18,0,PrivateJob,School,UnMarried,Female,140164,<=50K
36,1,PrivateJob,Bachelor,Married,Male,128757,>50K
35,1,PrivateJob,Bachelor,Divorced,Male,36270,<=50K
58,1,SelfEmployed,Bachelor,Married,Female,210563,>50K
17,0,PrivateJob,School,UnMarried,Female,65368,<=50K
44,1,GovtJob,Bachelor,Married,Male,160943,<=50K
37,1,PrivateJob,Bachelor,Married,Male,208358,>50K
35,1,PrivateJob,Bachelor,UnMarried,Female,153790,<=50K
60,1,PrivateJob,Bachelor,Married,Male,85815,<=50K
54,1,SelfEmployed,School,Married,Male,125417,>50K
37,1,PrivateJob,Bachelor,UnMarried,Male,635913,>50K
50,1,PrivateJob,Bachelor,Divorced,Female,313321,<=50K
38,1,PrivateJob,Bachelor,Married,Male,182609,<=50K
45,1,PrivateJob,Bachelor,Married,Male,109434,<=50K
25,1,PrivateJob,School,UnMarried,Male,255004,<=50K
31,1,PrivateJob,Bachelor,Married,Male,197860,<=50K
64,1,SelfEmployed,School,Divorced,Male,187656,<=50K
90,1,PrivateJob,Bachelor,UnMarried,Male,51744,<=50K
54,1,PrivateJob,Bachelor,Married,Male,176681,<=50K
53,1,GovtJob,School,UnMarried,Female,140359,<=50K
18,0,PrivateJob,Bachelor,UnMarried,Female,243313,<=50K
60,1,SelfEmployed,School,Divorced,Female,24215,<=50K
66,1,SelfEmployed,Bachelor,Married,Male,167687,<=50K
75,1,PrivateJob,Bachelor,Widowed,Female,314209,<=50K
65,1,PrivateJob,Bachelor,Divorced,Female,176796,<=50K
35,1,PrivateJob,School,Divorced,Male,538583,<=50K
41,1,PrivateJob,Bachelor,Divorced,Female,130408,<=50K
25,1,PrivateJob,Bachelor,UnMarried,Male,159732,<=50K
33,1,PrivateJob,Bachelor,Divorced,Female,110978,<=50K
28,1,PrivateJob,Bachelor,UnMarried,Male,76714,>50K
59,1,GovtJob,Bachelor,Married,Male,268700,<=50K
40,1,GovtJob,Bachelor,UnMarried,Female,170525,<=50K
41,1,PrivateJob,Bachelor,Married,Male,180138,>50K
38,1,GovtJob,Masters,Married,Male,115076,>50K
23,1,PrivateJob,Bachelor,UnMarried,Male,115458,<=50K
40,1,PrivateJob,Bachelor,Married,Male,347890,>50K
41,1,SelfEmployed,Bachelor,Married,Female,196001,<=50K
24,1,GovtJob,Bachelor,Married,Male,273905,<=50K
20,1,SelfEmployed,Bachelor,UnMarried,Male,119156,<=50K
38,1,PrivateJob,Bachelor,Divorced,Male,179488,<=50K
56,1,PrivateJob,Bachelor,Married,Male,203580,<=50K
58,1,PrivateJob,Bachelor,Married,Male,236596,>50K
32,1,PrivateJob,Bachelor,UnMarried,Female,183916,<=50K
40,1,PrivateJob,Bachelor,Married,Male,207578,>50K
45,1,PrivateJob,Bachelor,Married,Male,153141,<=50K
41,1,PrivateJob,Bachelor,Married,Female,112763,>50K
42,1,PrivateJob,Bachelor,Married,Female,390781,<=50K
59,1,GovtJob,School,Widowed,Female,171328,<=50K
19,1,GovtJob,Bachelor,UnMarried,Male,27382,<=50K
58,1,PrivateJob,Bachelor,UnMarried,Male,259014,<=50K
42,1,SelfEmployed,Bachelor,Married,Male,303044,>50K
20,1,PrivateJob,Bachelor,UnMarried,Female,117789,<=50K
32,1,PrivateJob,Bachelor,Divorced,Female,172579,<=50K
45,1,PrivateJob,Bachelor,Widowed,Female,187666,<=50K
50,1,PrivateJob,School,Divorced,Male,204518,<=50K
36,1,PrivateJob,Bachelor,Divorced,Female,150042,<=50K
45,1,PrivateJob,Bachelor,Married,Male,98092,<=50K
17,0,PrivateJob,School,UnMarried,Male,245918,<=50K
59,1,PrivateJob,Bachelor,Married,Male,146013,<=50K
26,1,PrivateJob,School,Married,Male,378322,<=50K
37,1,SelfEmployed,Bachelor,Married,Male,257295,>50K
19,1,SelfEmployed,Bachelor,UnMarried,Male,218956,<=50K
64,1,PrivateJob,Bachelor,Married,Male,21174,>50K
33,1,PrivateJob,Bachelor,UnMarried,Female,185480,<=50K
33,1,PrivateJob,Bachelor,Married,Female,222205,>50K
61,1,PrivateJob,Bachelor,Married,Male,69867,>50K
17,0,PrivateJob,School,UnMarried,Male,191260,<=50K
50,1,SelfEmployed,Masters,Married,Male,30653,<=50K
27,1,GovtJob,Masters,UnMarried,Male,209109,<=50K
30,1,PrivateJob,Bachelor,Divorced,Female,70377,<=50K
43,1,PrivateJob,Bachelor,Married,Male,477983,<=50K
44,1,PrivateJob,Bachelor,Married,Male,170924,>50K
35,1,PrivateJob,Bachelor,UnMarried,Female,190174,<=50K
25,1,PrivateJob,Bachelor,UnMarried,Female,193787,<=50K
24,1,PrivateJob,Bachelor,Married,Female,279472,>50K
22,1,PrivateJob,Bachelor,UnMarried,Female,34918,<=50K
42,1,GovtJob,Bachelor,Married,Male,97688,>50K
34,1,PrivateJob,Bachelor,Divorced,Female,175413,<=50K
60,1,PrivateJob,Bachelor,Divorced,Female,173960,<=50K
21,1,PrivateJob,Bachelor,UnMarried,Male,205759,<=50K
57,1,GovtJob,Masters,Married,Male,425161,>50K
41,1,PrivateJob,Bachelor,Married,Male,220531,>50K
50,1,PrivateJob,Bachelor,Divorced,Male,176609,<=50K
25,1,PrivateJob,Bachelor,UnMarried,Female,371987,<=50K
50,1,PrivateJob,School,Married,Male,193884,<=50K
36,1,PrivateJob,Bachelor,Married,Male,200352,<=50K
31,1,PrivateJob,Bachelor,Divorced,Female,127595,<=50K
29,1,GovtJob,Bachelor,UnMarried,Male,220419,<=50K
21,1,PrivateJob,Bachelor,UnMarried,Male,231931,<=50K
27,1,PrivateJob,Bachelor,UnMarried,Female,248402,<=50K
65,1,PrivateJob,Bachelor,Married,Male,111095,<=50K
37,1,SelfEmployed,Bachelor,Divorced,Female,57424,<=50K
39,1,SelfEmployed,Masters,Married,Female,157443,<=50K
24,1,PrivateJob,Bachelor,UnMarried,Male,278130,<=50K
38,1,PrivateJob,Bachelor,Divorced,Male,169469,<=50K
48,1,PrivateJob,Bachelor,Married,Male,146268,>50K
21,1,PrivateJob,Bachelor,UnMarried,Female,153718,<=50K
31,1,PrivateJob,Bachelor,Married,Male,217460,>50K
55,1,PrivateJob,Bachelor,Married,Male,238638,>50K
24,1,PrivateJob,Bachelor,Married,Female,303296,<=50K
43,1,PrivateJob,Bachelor,Divorced,Female,173321,<=50K
26,1,PrivateJob,Bachelor,UnMarried,Male,193945,<=50K
46,1,PrivateJob,Bachelor,UnMarried,Female,83082,<=50K
35,1,PrivateJob,Bachelor,Married,Male,193815,>50K
41,1,SelfEmployed,Bachelor,Married,Male,34987,>50K
26,1,PrivateJob,Bachelor,UnMarried,Male,59306,<=50K
34,1,PrivateJob,Masters,Married,Male,142897,>50K
19,1,SelfEmployed,Bachelor,UnMarried,Female,860348,<=50K
36,1,SelfEmployed,Bachelor,Divorced,Female,205607,>50K
22,1,PrivateJob,Bachelor,UnMarried,Male,199698,<=50K
24,1,PrivateJob,Bachelor,UnMarried,Male,191954,<=50K
77,1,SelfEmployed,Bachelor,Married,Male,138714,<=50K
22,1,PrivateJob,School,Married,Female,399087,<=50K
29,1,PrivateJob,Bachelor,UnMarried,Female,423158,<=50K
62,1,PrivateJob,Bachelor,Widowed,Female,159841,<=50K
39,1,SelfEmployed,Bachelor,Married,Male,174308,<=50K
43,1,PrivateJob,Bachelor,Married,Male,50356,<=50K
35,1,PrivateJob,Bachelor,Divorced,Male,186110,<=50K
29,1,PrivateJob,School,UnMarried,Female,200381,<=50K
76,1,SelfEmployed,Masters,Married,Male,174309,<=50K
63,1,SelfEmployed,Bachelor,Married,Male,78383,<=50K
23,1,SelfEmployed,Bachelor,UnMarried,Female,211601,<=50K
43,1,PrivateJob,Bachelor,Married,Female,187728,>50K
58,1,SelfEmployed,Bachelor,Married,Male,321171,<=50K
66,1,PrivateJob,Bachelor,UnMarried,Male,127921,<=50K
41,1,PrivateJob,Bachelor,UnMarried,Male,206565,<=50K
26,1,PrivateJob,Bachelor,UnMarried,Male,224563,<=50K
47,1,PrivateJob,Bachelor,UnMarried,Male,178686,<=50K
55,1,GovtJob,School,Married,Male,98545,<=50K
53,1,PrivateJob,Bachelor,Married,Male,242606,<=50K
17,0,PrivateJob,School,UnMarried,Male,270942,<=50K
30,1,PrivateJob,Bachelor,UnMarried,Male,94235,<=50K
49,1,PrivateJob,Masters,UnMarried,Male,71195,<=50K
19,1,PrivateJob,Bachelor,UnMarried,Male,104112,<=50K
45,1,PrivateJob,Bachelor,Married,Male,261192,<=50K
26,1,PrivateJob,Bachelor,UnMarried,Male,94936,<=50K
38,1,PrivateJob,Bachelor,Married,Male,296478,>50K
36,1,GovtJob,Bachelor,Married,Male,119272,>50K
33,1,PrivateJob,Bachelor,UnMarried,Male,85043,<=50K
22,1,GovtJob,Bachelor,UnMarried,Female,293364,<=50K
43,1,SelfEmployed,Bachelor,UnMarried,Male,241895,<=50K
67,1,SelfEmployed,School,Married,Male,36135,<=50K
30,1,SelfEmployed,Bachelor,Divorced,Female,151989,<=50K
56,1,PrivateJob,Bachelor,Married,Male,101128,<=50K
31,1,PrivateJob,Bachelor,UnMarried,Male,156464,<=50K
33,1,PrivateJob,Bachelor,Married,Male,117963,>50K
26,1,PrivateJob,Bachelor,Married,Male,192262,<=50K
33,1,PrivateJob,Bachelor,Married,Male,111363,>50K
46,1,GovtJob,School,Married,Male,329752,<=50K
59,1,SelfEmployed,Bachelor,Married,Male,372020,>50K
38,1,GovtJob,Bachelor,Married,Male,95432,>50K
65,1,PrivateJob,School,Widowed,Male,161400,<=50K
40,1,PrivateJob,Bachelor,Married,Male,96129,>50K
42,1,PrivateJob,Bachelor,Married,Female,111949,<=50K
26,1,SelfEmployed,School,Married,Male,117125,<=50K
36,1,PrivateJob,School,Married,Female,348022,<=50K
62,1,PrivateJob,Masters,Married,Male,270092,>50K
43,1,PrivateJob,Bachelor,Married,Male,180609,<=50K
43,1,PrivateJob,Bachelor,Divorced,Male,174575,>50K
22,1,PrivateJob,Bachelor,Married,Male,410439,<=50K
28,1,PrivateJob,Bachelor,Married,Male,92262,<=50K
56,1,SelfEmployed,Bachelor,Married,Male,183081,<=50K
22,1,PrivateJob,Bachelor,UnMarried,Female,362589,<=50K
57,1,PrivateJob,Bachelor,Divorced,Female,212448,>50K
39,1,PrivateJob,Bachelor,Divorced,Female,481060,<=50K
26,1,GovtJob,Bachelor,UnMarried,Female,185885,<=50K
17,0,PrivateJob,School,UnMarried,Male,89821,<=50K
40,1,GovtJob,Bachelor,Married,Male,184018,>50K
45,1,PrivateJob,Bachelor,Married,Male,256649,<=50K
44,1,PrivateJob,Bachelor,UnMarried,Male,160323,<=50K
20,1,GovtJob,Bachelor,UnMarried,Female,350845,<=50K
33,1,PrivateJob,Bachelor,Married,Female,267404,<=50K
23,1,PrivateJob,Bachelor,UnMarried,Male,35633,<=50K
46,1,SelfEmployed,Masters,Divorced,Male,80914,<=50K
38,1,PrivateJob,Bachelor,Married,Male,172927,<=50K
54,1,PrivateJob,Bachelor,Divorced,Male,174319,<=50K
46,1,PrivateJob,School,Divorced,Female,214955,<=50K
25,1,PrivateJob,Bachelor,Married,Male,344991,<=50K
46,1,PrivateJob,Bachelor,Divorced,Female,108699,<=50K
36,1,GovtJob,Bachelor,Married,Female,117312,<=50K
23,1,PrivateJob,Bachelor,UnMarried,Female,396099,<=50K
29,1,PrivateJob,Bachelor,Divorced,Male,134152,<=50K
44,1,PrivateJob,Bachelor,Married,Female,162028,>50K
19,1,PrivateJob,Bachelor,UnMarried,Female,25429,<=50K
19,1,PrivateJob,Bachelor,UnMarried,Female,232392,<=50K
35,1,PrivateJob,Bachelor,Married,Female,220098,>50K
27,1,PrivateJob,Bachelor,UnMarried,Male,301302,<=50K
46,1,SelfEmployed,Bachelor,Divorced,Male,277946,<=50K
34,1,GovtJob,Bachelor,Married,Male,98101,>50K
34,1,PrivateJob,Bachelor,UnMarried,Female,196164,<=50K
44,1,PrivateJob,Bachelor,Married,Male,115562,<=50K
45,1,PrivateJob,Bachelor,Divorced,Female,96975,<=50K
20,1,SelfEmployed,Bachelor,UnMarried,Female,137300,<=50K
25,1,PrivateJob,Bachelor,Married,Male,86872,>50K
52,1,SelfEmployed,Bachelor,Married,Male,132178,>50K
20,1,PrivateJob,Bachelor,UnMarried,Male,416103,<=50K
28,1,PrivateJob,Bachelor,UnMarried,Female,108574,<=50K
50,1,GovtJob,Bachelor,Married,Male,288353,>50K
34,1,PrivateJob,Bachelor,Divorced,Female,227689,<=50K
28,1,PrivateJob,School,Married,Male,166481,<=50K
41,1,PrivateJob,Masters,Married,Male,445382,>50K
28,1,PrivateJob,Bachelor,Married,Male,110145,<=50K
46,1,SelfEmployed,Bachelor,Married,Male,317253,<=50K
28,1,SelfEmployed,Bachelor,Married,Female,123147,>50K
32,1,PrivateJob,Bachelor,Married,Male,364657,<=50K
41,1,GovtJob,Bachelor,Divorced,Female,42346,<=50K
24,1,PrivateJob,Bachelor,UnMarried,Female,241951,<=50K
33,1,PrivateJob,Bachelor,Divorced,Female,118500,<=50K
46,1,PrivateJob,Doctorate,Married,Male,188386,>50K
31,1,GovtJob,Bachelor,Married,Male,1033222,<=50K
35,1,PrivateJob,School,Divorced,Male,92440,>50K
52,1,PrivateJob,School,Married,Male,190762,<=50K
30,1,PrivateJob,School,UnMarried,Female,426017,<=50K
34,1,GovtJob,School,Divorced,Male,243867,<=50K
34,1,GovtJob,Bachelor,Divorced,Female,240283,<=50K
20,1,PrivateJob,Bachelor,Married,Male,61777,<=50K
17,0,PrivateJob,School,UnMarried,Male,175024,<=50K
32,1,GovtJob,Bachelor,Married,Female,92003,>50K
29,1,PrivateJob,Bachelor,Divorced,Male,188401,<=50K
33,1,PrivateJob,School,UnMarried,Female,228528,<=50K
25,1,PrivateJob,Bachelor,Married,Male,133373,<=50K
36,1,GovtJob,Masters,UnMarried,Male,255191,<=50K
23,1,PrivateJob,Bachelor,UnMarried,Male,204653,<=50K
63,1,SelfEmployed,Bachelor,Married,Male,222289,>50K
47,1,GovtJob,Masters,Married,Male,287480,<=50K
80,1,SelfEmployed,Bachelor,Widowed,Male,107762,<=50K
17,0,SelfEmployed,School,UnMarried,Male,202521,<=50K
40,1,SelfEmployed,Bachelor,Married,Female,204116,<=50K
30,1,PrivateJob,Bachelor,Married,Female,29662,>50K
27,1,PrivateJob,Bachelor,UnMarried,Male,116358,<=50K
33,1,PrivateJob,Masters,Married,Male,208405,>50K
34,1,GovtJob,Bachelor,UnMarried,Male,284843,<=50K
34,1,GovtJob,Bachelor,UnMarried,Female,117018,<=50K
23,1,PrivateJob,Bachelor,Married,Male,81281,<=50K
42,1,GovtJob,Bachelor,Married,Female,340148,<=50K
29,1,PrivateJob,Bachelor,UnMarried,Male,363425,<=50K
